Date,Vial,Syringe No,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,Chm Vol,Inj Vol,TVCO2,TVO2,Treatment,Comment,Area_O2,Area_CO2
8/22/22,323,5,DPSE,1,M,0.0008,0.0005,4,0,0.50,0.25,4.53E-05,5.04E-02,H-C,,0.1687016,0.1670836
8/22/22,341,18,DMEL,1,M,0.0007,0.00065,4,12,0.50,0.25,3.74E-05,1.28E-02,C-C,,0.3535609,0.3473996
8/20/22,287,5,DMEL,1,F,0.0013,0.0012,3,57,0.50,0.25,1.98E-05,3.63E-02,H-C,,0.3032225,0.2978278
8/24/22,385,26,DMEL,2,F,0.0010,0.00097,4,1,0.50,0.25,5.12E-05,0.1592473,C-C,,0.3493053,0.3424569
8/20/22,287,3,DMEL,1,F,0.0015,0.0014,3,52,0.50,0.25,3.16E-05,4.62E-02,H-C,,0.3343528,0.3267929
8/20/22,289,9,DMEL,1,F,0.0009,0.0008,4,8,0.50,0.25,2.56E-05,3.33E-02,H-C,,0.328004,0.3205599
8/16/22,125,22,DPSE,3,M,0.0008,0.00060,4,15,0.50,0.25,6.17E-05,3.86E-02,C-H,,0.2357498,0.2303973
8/19/22,182,15,DMEL,1,M,0.0006,0.00057,3,55,0.50,0.25,3.04E-05,0.1510437,H-C,,0.2704866,0.2639958
8/24/22,323,7,DPSE,1,M,0.0009,0.00080,4,0,0.50,0.25,4.14E-05,8.08E-02,H-C,,0.242445,0.2363901
8/22/22,310,35,DMEL,1,F,0.0009,0.00087,4,33,0.50,0.25,3.78E-05,3.52E-02,C-C,,0.3111469,0.303014
8/20/22,287,6,DMEL,1,F,0.0011,0.001,4,0,0.50,0.25,3.71E-05,0.0201472,H-C,,0.3924637,0.3814317
8/22/22,323,6,DPSE,1,M,0.0007,0.0004,4,2,0.50,0.25,4.27E-05,3.00E-02,H-C,,0.2117604,0.2051213
8/22/22,323,4,DPSE,1,M,0.0008,0.0005,3,58,0.50,0.25,2.36E-05,5.12E-02,H-C,,0.224945,0.2178753
8/18/22,194,1,DPSE,1,M,0.0004,0.00040,3,57,0.50,0.25,1.86E-05,4.05E-02,C-C,,0.1329784,0.127641
8/18/22,194,5,DPSE,1,M,0.0009,0.00080,4,6,0.50,0.25,3.27E-05,6.84E-02,C-C,,0.2588078,0.2472877
8/18/22,194,9,DPSE,1,M,0.0007,0.0007,4,15,0.50,0.25,1.95E-05,5.43E-02,C-C,,0.2183006,0.2083163
8/24/22,306,17,DMEL,1,M,0.0007,0.00063,3,53,0.50,0.25,3.84E-05,3.90E-02,C-H,,0.29922499,0.2854717
8/19/22,182,18,DMEL,1,M,0.0007,0.00067,4,1,0.50,0.25,1.92E-05,8.24E-02,H-C,,0.2887461,0.2739945
8/16/22,99,20,DPSE,2,M,0.0008,0.0008,4,11,0.50,0.25,4.15E-05,0.1271566,H-H,,0.249891,0.2368644
8/24/22,385,21,DMEL,2,F,0.0011,0.00107,4,8,0.50,0.25,6.35E-05,8.90E-02,C-C,,0.6180834,0.5851674
8/20/22,287,4,DMEL,1,F,0.0012,0.0011,3,55,0.50,0.25,3.35E-05,7.72E-03,H-C,,0.3700608,0.3501083
8/24/22,385,15,DMEL,2,F,0.0007,0.00067,4,10,0.50,0.25,1.01E-04,7.47E-02,C-C,,0.3071533,0.2900416
8/22/22,323,3,DPSE,1,M,0.0007,0.0004,3,56,0.50,0.25,3.98E-05,8.65E-02,H-C,,0.2363601,0.2225541
8/22/22,341,20,DMEL,1,M,0.0006,0.00055,4,17,0.50,0.25,4.42E-05,5.85E-02,C-C,,0.2673829,0.2511075
8/20/22,287,1,DMEL,1,F,0.0012,0.0011,3,43,0.50,0.25,5.88E-05,8.71E-02,H-C,,0.3326412,0.3116062
8/19/22,217,9,DMEL,1,M,0.0008,0.0005,4,0,0.50,0.25,2.83E-05,0.1452529,H-H,,0.2549788,0.2388267
8/18/22,194,7,DPSE,1,M,0.0009,0.0007,4,11,0.50,0.25,2.15E-05,0.0834842,C-C,,0.1824104,0.1697949
8/19/22,182,14,DMEL,1,M,0.0007,0.00067,3,53,0.50,0.25,2.46E-05,0.1456148,H-C,,0.2922352,0.2719992
8/20/22,287,2,DMEL,1,F,0.0009,0.0008,3,48,0.50,0.25,5.51E-05,3.62E-02,H-C,,0.3171603,0.2951422
8/22/22,396,40,DMEL,1,F,0.0009,0.0008,4,10,0.50,0.25,3.73E-05,1.09E-02,H-C,,0.3950419,0.3674164
8/24/22,425,6,DPSE,1,F,0.0011,0.00100,4,10,0.50,0.25,8.96E-05,0.0880686,H-C,,0.3623206,0.3358871
8/19/22,217,3,DMEL,1,M,0.0008,0.0005,3,47,0.50,0.25,2.68E-05,9.55E-02,H-H,,0.3205887,0.2967667
8/22/22,393,13,DMEL,1,M,0.0005,0.00047,4,0,0.50,0.25,3.91E-05,0.1574377,H-C,,0.4581632,0.4221987
8/24/22,385,28,DMEL,2,F,0.0009,0.00087,3,59,0.50,0.25,7.71E-05,0.1600918,C-C,,0.32034,0.2930222
8/16/22,102,2,DPSE,1,F,0.0011,0.0009,3,46,0.50,0.25,2.16E-05,4.58E-03,H-H,,0.3274181,0.2979751
8/19/22,217,2,DMEL,1,M,0.0007,0.0004,3,44,0.50,0.25,4.47E-05,6.16E-02,H-H,,0.247152,0.2244116
8/16/22,129,32,DPSE,3,F,0.0012,0.001,4,16,0.50,0.25,4.37E-05,0.1086984,C-H,,0.3753426,0.340081
8/24/22,306,2,DMEL,1,M,0.0006,0.00053,3,57,0.50,0.25,4.73E-05,6.50E-02,C-H,,0.2754281,0.2493498
8/22/22,393,8,DMEL,1,M,0.0006,0.00057,4,7,0.50,0.25,3.10E-05,3.53E-02,H-C,,0.3515758,0.3174136
8/19/22,217,6,DMEL,1,M,0.0007,0.0004,3,54,0.50,0.25,4.80E-05,0.2333215,H-H,,0.2783037,0.2507599
8/24/22,323,19,DMEL,1,F,0.0011,0.001,4,5,0.50,0.25,8.01E-05,1.74E-02,H-H,,0.6128103,0.5505175
8/22/22,323,2,DPSE,1,M,0.0007,0.0004,3,53,0.50,0.25,6.48E-05,4.26E-02,H-C,looks dead,0.3109734,0.2789848
8/18/22,194,10,DPSE,1,M,0.0006,0.0006,4,17,0.50,0.25,2.29E-05,1.73E-02,C-C,,0.2117935,0.1881099
8/20/22,287,7,DMEL,1,F,0.0011,0.001,4,3,0.50,0.25,7.35E-05,1.21E-03,H-C,,0.2918561,0.2587444
8/16/22,125,25,DPSE,3,M,0.0007,0.0007,4,19,0.50,0.25,3.55E-05,0.1204006,C-H,,0.2707582,0.2390734
8/22/22,393,7,DMEL,1,M,0.0005,0.00047,4,5,0.50,0.25,2.06E-05,9.65E-03,H-C,,0.2367964,0.2090437
8/16/22,99,21,DPSE,2,M,0.0008,0.0008,4,13,0.50,0.25,2.36E-05,0.1136447,H-H,,0.26022,0.2293967
8/16/22,99,18,DPSE,2,M,0.0008,0.0008,4,5,0.50,0.25,1.77E-05,0.1111112,H-H,,0.2382963,0.2098229
8/22/22,393,9,DMEL,1,M,0.0006,0.00057,4,9,0.50,0.25,2.13E-05,8.05E-02,H-C,,0.2239551,0.1970907
8/22/22,396,39,DMEL,1,F,0.0012,0.0011,4,7,0.50,0.25,4.00E-05,2.06E-02,H-C,,0.7494411,0.6574335
8/22/22,310,38,DMEL,1,F,0.0011,0.00107,4,4,0.50,0.25,5.96E-05,8.81E-03,C-C,,0.5258639,0.4601327
8/24/22,425,9,DPSE,2,F,0.0010,0.00090,3,54,0.50,0.25,5.73E-05,0.1620221,H-C,,0.3332907,0.290993
8/19/22,182,20,DMEL,1,M,0.0005,0.00047,4,6,0.50,0.25,2.54E-05,4.31E-02,H-C,,0.2771785,0.2419912
8/24/22,323,14,DPSE,1,M,0.0007,0.00060,4,2,0.50,0.25,3.74E-05,7.26E-02,H-C,,0.260808,0.2275147
8/24/22,385,1,DMEL,2,F,0.0008,0.00077,4,20,0.50,0.25,5.44E-05,6.33E-02,C-C,,0.3632818,0.3162984
8/16/22,99,15,DPSE,2,M,0.0009,0.0005,3,57,0.50,0.25,1.42E-05,3.23E-02,H-H,,0.2404611,0.2091188
8/18/22,204,16,DPSE,2,F,0.0007,0.0006,4,10,0.50,0.25,2.37E-05,3.15E-02,C-C,,0.2349542,0.203359
8/16/22,99,13,DPSE,2,M,0.0008,0.0006,3,52,0.50,0.25,3.10E-05,3.62E-04,H-H,,0.2322686,0.2008335
8/22/22,341,24,DMEL,1,M,0.0006,0.00055,4,27,0.50,0.25,7.65E-05,6.18E-02,C-C,,0.4191106,0.3621963
8/22/22,341,16,DMEL,1,M,0.0006,0.00055,4,7,0.50,0.25,1.11E-04,0.1200387,C-C,11 age,0.5949981,0.5119849
8/18/22,194,8,DPSE,1,M,0.0008,0.0006,4,12,0.50,0.25,2.77E-05,4.66E-02,C-C,,0.2108923,0.1807278
8/24/22,425,22,DPSE,2,F,0.0012,0.00110,3,56,0.50,0.25,4.83E-05,0.1930271,H-C,,0.5400545,0.4621576
8/18/22,204,14,DPSE,2,F,0.0005,0.0005,4,6,0.50,0.25,3.71E-05,1.28E-02,C-C,,0.1939849,0.1659653
8/16/22,129,36,DPSE,3,F,0.0010,0.0009,4,24,0.50,0.25,5.30E-05,0.1196768,C-H,,0.287645,0.2458356
8/22/22,402,44,DPSE,2,F,0.0009,0.00080,4,17,0.50,0.25,5.20E-05,3.55E-02,H-C,,0.3099145,0.2626253
8/22/22,338,30,DMEL,1,F,0.0014,0.00135,4,26,0.50,0.25,6.62E-05,5.72E-02,C-H,,0.5955348,0.5032101
8/24/22,323,16,DMEL,1,F,0.0012,0.00002,4,8,0.50,0.25,9.31E-05,8.90E-02,H-H,,0.6353669,0.5362534
8/19/22,182,21,DMEL,1,M,0.0005,0.00047,4,8,0.50,0.25,3.67E-05,1.09E-03,H-C,,0.2309141,0.194321
8/19/22,217,4,DMEL,1,M,0.0007,0.0004,3,49,0.50,0.25,1.34E-05,0.1048378,H-H,,0.2562448,0.2151455
8/22/22,393,15,DMEL,1,M,0.0004,0.00037,4,5,0.50,0.25,3.86E-05,0.193389,H-C,Looks dead,0.2723222,0.2277118
8/22/22,310,34,DMEL,1,F,0.0011,0.00107,4,30,0.50,0.25,4.49E-05,9.04E-02,C-C,,0.6897607,0.5759721
8/19/22,182,17,DMEL,1,M,0.0005,0.00047,3,59,0.50,0.25,6.61E-05,0.1018218,H-C,,0.278506,0.2319304
8/22/22,338,28,DMEL,1,F,0.0011,0.00006,4,21,0.50,0.25,6.07E-05,3.39E-02,C-H,,0.6493846,0.5400939
8/16/22,99,16,DPSE,2,M,0.0007,0.0007,4,0,0.50,0.25,1.75E-05,1.62E-02,H-H,,0.2782636,0.2308769
8/24/22,385,13,DMEL,2,F,0.0010,0.00097,4,6,0.50,0.25,6.08E-05,0.1751721,C-C,,0.4679084,0.3861206
8/19/22,182,22,DMEL,1,M,0.0005,0.00047,4,10,0.50,0.25,2.08E-05,4.46E-03,H-C,,0.317996,0.2621613
8/16/22,99,14,DPSE,2,M,0.0008,0.0008,3,54,0.50,0.25,2.01E-05,1.11E-02,H-H,,0.3006015,0.2478178
8/22/22,310,37,DMEL,1,F,0.0013,0.0001,4,36,0.50,0.25,6.32E-05,1.21E-04,C-C,,0.6976168,0.5709218
8/22/22,338,27,DMEL,1,F,0.0010,0.00005,4,19,0.50,0.25,1.78E-05,6.47E-02,C-H,,0.4437343,0.3625505
8/19/22,217,1,DMEL,1,M,0.0006,0.0003,3,42,0.50,0.25,3.70E-05,4.75E-02,H-H,,0.2468728,0.201404
8/24/22,323,18,DMEL,1,F,0.0014,0.0013,4,3,0.50,0.25,3.80E-05,3.52E-02,H-H,,0.6057608,0.4938078
8/18/22,204,15,DPSE,2,F,0.0008,0.0005,4,8,0.50,0.25,2.50E-05,4.39E-02,C-C,,0.220945,0.1793419
8/16/22,102,9,DPSE,1,F,0.0010,0.0009,4,2,0.50,0.25,4.24E-05,2.45E-02,H-H,,0.4109689,0.3328536
8/22/22,341,19,DMEL,1,M,0.0005,0.00045,4,15,0.50,0.25,6.22E-05,7.77E-02,C-C,,0.3249614,0.2631823
8/16/22,125,29,DPSE,3,M,0.0005,0.0004,4,9,0.50,0.25,6.15E-05,9.62E-02,C-H,Dead,0.2787438,0.2256704
8/18/22,204,19,DPSE,2,F,0.0010,0.0009,4,17,0.50,0.25,2.15E-05,2.04E-02,C-C,,0.2948935,0.238259
8/18/22,204,20,DPSE,2,F,0.0007,0.0004,4,19,0.50,0.25,2.55E-05,2.85E-02,C-C,,0.2342461,0.1891452
8/18/22,194,12,DPSE,1,M,0.0006,0.0005,4,21,0.50,0.25,1.72E-05,2.73E-02,C-C,,0.2192999,0.1762553
8/22/22,402,48,DPSE,2,F,0.0009,0.00080,4,26,0.50,0.25,1.45E-05,8.11E-02,H-C,,0.3669148,0.2929399
8/16/22,129,37,DPSE,4,F,0.0010,0.0009,4,5,0.50,0.25,4.77E-05,5.26E-02,C-H,,0.4349777,0.3471615
8/18/22,204,18,DPSE,2,F,0.0007,0.0006,4,15,0.50,0.25,8.17E-06,3.63E-02,C-C,,0.2905457,0.2315252
8/18/22,194,6,DPSE,1,M,0.0008,0.0007,4,8,0.50,0.25,3.14E-05,0.105441,C-C,,0.2415614,0.1921488
8/16/22,102,4,DPSE,1,F,0.0010,0.0009,3,50,0.50,0.25,5.46E-05,9.41E-03,H-H,,0.30997,0.2464674
8/16/22,125,26,DPSE,3,M,0.0007,0.0005,4,1,0.50,0.25,2.05E-05,0.0820365,C-H,,0.303018,0.2406993
8/18/22,204,21,DPSE,2,F,0.0009,0.0008,4,21,0.50,0.25,2.90E-05,4.05E-02,C-C,,0.2879531,0.2285594
8/18/22,204,23,DPSE,2,F,0.0006,0.0006,4,26,0.50,0.25,2.99E-05,0.0238871,C-C,,0.2291346,0.1811337
8/18/22,194,11,DPSE,1,M,0.0011,0.0008,4,19,0.50,0.25,1.57E-05,1.46E-02,C-C,,0.2070127,0.16262942
8/24/22,385,11,DMEL,2,F,0.0009,0.00087,4,17,0.50,0.25,5.74E-05,3.14E-03,C-C,,0.3947884,0.309745
8/22/22,338,31,DMEL,1,F,0.0011,0.00105,4,28,0.50,0.25,9.57E-05,8.61E-02,C-H,,0.5308453,0.4160604
8/16/22,102,10,DPSE,1,F,0.0011,0.0009,4,5,0.50,0.25,3.23E-05,7.36E-03,H-H,,0.3702897,0.290028
8/22/22,402,43,DPSE,2,F,0.0011,0.00100,4,15,0.50,0.25,2.96E-05,5.86E-02,H-C,,0.397805,0.3097871
8/16/22,125,24,DPSE,3,M,0.0007,0.0007,4,16,0.50,0.25,3.09E-05,9.49E-02,C-H,,0.1994729,0.1549562
8/18/22,204,22,DPSE,2,F,0.0008,0.0007,4,24,0.50,0.25,2.41E-05,0.0328146,C-C,,0.3210337,0.2475086
8/16/22,129,33,DPSE,3,F,0.0009,0.0009,4,18,0.50,0.25,4.14E-05,0.1769817,C-H,,0.3429312,0.2632909
8/16/22,129,41,DPSE,4,F,0.0008,0.0006,4,,0.50,0.25,3.67E-05,0.0112197,C-H,,0.3041447,0.2333051
8/16/22,102,5,DPSE,1,F,0.0014,0.0013,3,52,0.50,0.25,3.54E-05,4.48E-02,H-H,,0.4945915,0.3787763
8/19/22,226,11,DMEL,1,F,0.0011,0.001,4,5,0.50,0.25,2.09E-05,0.2297022,H-H,,0.3637547,0.278364
8/16/22,125,31,DPSE,3,M,0.0006,0.0005,4,14,0.50,0.25,1.31E-05,0.1086984,C-H,,0.2334992,0.17826
8/16/22,99,11,DPSE,1,M,0.0008,0.0007,4,7,0.50,0.25,3.60E-05,8.69E-03,H-H,,0.2984366,0.2270232
8/16/22,99,17,DPSE,2,M,0.0008,0.0006,4,2,0.50,0.25,2.03E-05,8.81E-03,H-H,,0.2692747,0.2044872
8/16/22,129,40,DPSE,4,F,0.0012,0.0006,4,9,0.50,0.25,5.99E-05,6.66E-02,C-H,,0.3408384,0.2583656
8/16/22,102,6,DPSE,1,F,0.0008,0.0007,3,55,0.50,0.25,2.58E-05,1.65E-02,H-H,,0.3553575,0.2687693
8/16/22,99,12,DPSE,1,M,0.0008,0.0007,4,9,0.50,0.25,3.33E-05,6.03E-04,H-H,,0.3062535,0.2310725
8/16/22,129,34,DPSE,3,F,0.0011,0.00080,4,20,0.50,0.25,6.48E-05,0.1036314,C-H,,0.359217,0.2702125
8/19/22,217,7,DMEL,1,M,0.0006,0.0003,3,56,0.50,0.25,2.25E-05,0.1843408,H-H,,0.1913319,0.1431995
8/24/22,385,5,DMEL,2,F,0.0009,0.00087,4,13,0.50,0.25,4.68E-05,5.07E-03,C-C,,0.3808763,0.2836498
8/22/22,402,45,DPSE,2,F,0.0010,0.00090,4,19,0.50,0.25,3.04E-05,0.0230426,H-C,,0.4454494,0.3306995
8/22/22,402,47,DPSE,2,F,0.0009,0.00080,4,24,0.50,0.25,3.49E-05,3.64E-02,H-C,,0.3715995,0.2723886
8/16/22,102,8,DPSE,1,F,0.0012,0.0011,4,0,0.50,0.25,4.67E-05,4.34E-03,H-H,,0.4269092,0.312521
8/16/22,102,3,DPSE,1,F,0.0010,0.0007,3,48,0.50,0.25,3.57E-05,1.01E-02,H-H,,0.3327127,0.2428423
8/19/22,182,16,DMEL,1,M,0.0008,0.00077,3,57,0.50,0.25,3.72E-05,0.1608157,H-C,,0.3681319,0.2653669
8/16/22,125,27,DPSE,3,M,0.0007,0.0005,4,3,0.50,0.25,2.49E-05,0.1386176,C-H,,0.2358481,0.1680484
8/16/22,102,7,DPSE,1,F,0.0011,0.0011,3,58,0.50,0.25,2.24E-05,3.50E-03,H-H,,0.4726714,0.3315734
8/22/22,402,46,DPSE,2,F,0.0011,0.00100,4,22,0.50,0.25,2.90E-05,1.75E-02,H-C,,0.4701766,0.3257181
8/19/22,217,8,DMEL,1,M,0.0007,0.0004,3,58,0.50,0.25,2.34E-05,0.1646762,H-H,,0.3626974,0.2425625
8/16/22,125,30,DPSE,3,M,0.0007,0.0004,4,11,0.50,0.25,2.69E-05,4.27E-02,C-H,,0.2243958,0.1448725
8/19/22,217,10,DMEL,1,M,0.0006,0.0003,4,2,0.50,0.25,1.72E-05,0.2097963,H-H,,0.29358,0.1853241
8/19/22,217,5,DMEL,1,M,0.0006,0.0003,3,52,0.50,0.25,2.31E-05,0.1538184,H-H,,0.2752027,0.1662254
